A new study created in memory with name: PCA_LGBM
Trial 0 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 27, 'max_depth': 20, 'min_child_samples': 3}. Best is trial 0 with value: 0.8333333333333334.
Trial 1 finished with value: 0.85 and parameters: {'num_leaves': 78, 'max_depth': 8, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 2 finished with value: 0.85 and parameters: {'num_leaves': 78, 'max_depth': 18, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 3 finished with value: 0.85 and parameters: {'num_leaves': 46, 'max_depth': 12, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 4 finished with value: 0.85 and parameters: {'num_leaves': 70, 'max_depth': 5, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 5 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 68, 'max_depth': 10, 'min_child_samples': 3}. Best is trial 1 with value: 0.85.
Trial 6 finished with value: 0.8166666666666668 and parameters: {'num_leaves': 41, 'max_depth': 3, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 7 finished with value: 0.85 and parameters: {'num_leaves': 70, 'max_depth': 6, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 8 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 54, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 9 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 33, 'max_depth': 20, 'min_child_samples': 3}. Best is trial 8 with value: 0.8666666666666666.
Trial 10 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 93, 'max_depth': 13, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 11 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 96, 'max_depth': 14, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 12 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 100, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 13 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 54, 'max_depth': 10, 'min_child_samples': 2}. Best is trial 8 with value: 0.8666666666666666.
Trial 14 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 20, 'max_depth': 14, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 15 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 88, 'max_depth': 8, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 16 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 59, 'max_depth': 16, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 17 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 54, 'max_depth': 12, 'min_child_samples': 2}. Best is trial 8 with value: 0.8666666666666666.
Trial 18 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 87, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 19 finished with value: 0.8166666666666668 and parameters: {'num_leaves': 39, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 20 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 62, 'max_depth': 10, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 21 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 100, 'max_depth': 14, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 22 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 90, 'max_depth': 13, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 23 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 93, 'max_depth': 17, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
