A new study created in memory with name: PCA_LGBM
Trial 0 finished with value: 0.7666666666666666 and parameters: {'num_leaves': 328, 'max_depth': 0, 'learning_rate': 0.03319866038889897, 'n_estimators': 464, 'colsample_bytree': 0.2748010888729895}. Best is trial 0 with value: 0.7666666666666666.
Trial 1 finished with value: 0.8 and parameters: {'num_leaves': 147, 'max_depth': 7, 'learning_rate': 0.05451653189407365, 'n_estimators': 142, 'colsample_bytree': 0.7428349197700372}. Best is trial 1 with value: 0.8.
Trial 2 finished with value: 0.8166666666666667 and parameters: {'num_leaves': 73, 'max_depth': 13, 'learning_rate': 0.07024332215112705, 'n_estimators': 151, 'colsample_bytree': 0.8571136775197308}. Best is trial 2 with value: 0.8166666666666667.
Trial 3 finished with value: 0.8 and parameters: {'num_leaves': 936, 'max_depth': 2, 'learning_rate': 0.04211290994430361, 'n_estimators': 611, 'colsample_bytree': 0.6667271974684803}. Best is trial 2 with value: 0.8166666666666667.
Trial 4 finished with value: 0.8 and parameters: {'num_leaves': 176, 'max_depth': 1, 'learning_rate': 0.20608824524698394, 'n_estimators': 259, 'colsample_bytree': 0.5319924953394941}. Best is trial 2 with value: 0.8166666666666667.
Trial 5 finished with value: 0.75 and parameters: {'num_leaves': 450, 'max_depth': 0, 'learning_rate': 0.17082913216067305, 'n_estimators': 841, 'colsample_bytree': 0.2659153185859211}. Best is trial 2 with value: 0.8166666666666667.
Trial 6 finished with value: 0.8166666666666667 and parameters: {'num_leaves': 806, 'max_depth': 10, 'learning_rate': 0.1693013999362566, 'n_estimators': 855, 'colsample_bytree': 0.9815875453039629}. Best is trial 2 with value: 0.8166666666666667.
Trial 7 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 1297, 'max_depth': 11, 'learning_rate': 0.1720679757694729, 'n_estimators': 307, 'colsample_bytree': 0.4361962996757922}. Best is trial 7 with value: 0.8333333333333334.
Trial 8 finished with value: 0.8 and parameters: {'num_leaves': 706, 'max_depth': 5, 'learning_rate': 0.01123442826528418, 'n_estimators': 897, 'colsample_bytree': 0.8328056700477433}. Best is trial 7 with value: 0.8333333333333334.
Trial 9 finished with value: 0.8166666666666667 and parameters: {'num_leaves': 734, 'max_depth': 11, 'learning_rate': 0.11933314954968356, 'n_estimators': 124, 'colsample_bytree': 0.7970521608665291}. Best is trial 7 with value: 0.8333333333333334.
Trial 10 finished with value: 0.8 and parameters: {'num_leaves': 1439, 'max_depth': 14, 'learning_rate': 0.25087547857879233, 'n_estimators': 416, 'colsample_bytree': 0.4842826885041096}. Best is trial 7 with value: 0.8333333333333334.
Trial 11 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 1268, 'max_depth': 15, 'learning_rate': 0.09008804429351927, 'n_estimators': 332, 'colsample_bytree': 0.4967902121973265}. Best is trial 7 with value: 0.8333333333333334.
Trial 12 finished with value: 0.8166666666666667 and parameters: {'num_leaves': 1397, 'max_depth': 15, 'learning_rate': 0.10818755824938267, 'n_estimators': 332, 'colsample_bytree': 0.43563782391410727}. Best is trial 7 with value: 0.8333333333333334.
Trial 13 finished with value: 0.8 and parameters: {'num_leaves': 1129, 'max_depth': 11, 'learning_rate': 0.2802258643405665, 'n_estimators': 621, 'colsample_bytree': 0.3939552302357024}. Best is trial 7 with value: 0.8333333333333334.
Trial 14 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 1184, 'max_depth': 8, 'learning_rate': 0.09639129314516848, 'n_estimators': 289, 'colsample_bytree': 0.5943587623720561}. Best is trial 7 with value: 0.8333333333333334.
Trial 15 finished with value: 0.7833333333333333 and parameters: {'num_leaves': 1144, 'max_depth': 13, 'learning_rate': 0.13986850003947326, 'n_estimators': 582, 'colsample_bytree': 0.37200183652899427}. Best is trial 7 with value: 0.8333333333333334.
Trial 16 finished with value: 0.85 and parameters: {'num_leaves': 1299, 'max_depth': 10, 'learning_rate': 0.29239833542817023, 'n_estimators': 50, 'colsample_bytree': 0.5593133537314028}. Best is trial 16 with value: 0.85.
Trial 17 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 981, 'max_depth': 8, 'learning_rate': 0.2873326575103054, 'n_estimators': 59, 'colsample_bytree': 0.5909653013080782}. Best is trial 17 with value: 0.8666666666666666.
Trial 18 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 989, 'max_depth': 4, 'learning_rate': 0.2892908587594863, 'n_estimators': 69, 'colsample_bytree': 0.5953322141545265}. Best is trial 17 with value: 0.8666666666666666.
Trial 19 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 961, 'max_depth': 8, 'learning_rate': 0.28333502520687726, 'n_estimators': 720, 'colsample_bytree': 0.6594829524665663}. Best is trial 17 with value: 0.8666666666666666.
